vadovas	Žmogus, kuris veda grupę ir sako, ką daryti.	leader	A person who leads a group and says what to do.	Kalbame su grupės vadovu.	We talk with the group's leader.	noun
grupė	Keli žmonės kartu vienoje vietoje.	group	Several people together in one place.	Turistai keliauja grupėje.	The tourists travel in a group.	noun
planas	Kai žinome, ką darysime rytoj ar vasarą.	plan	When we know what we will do tomorrow or in summer.	Turime gerą planą vasarai.	We have a good plan for the summer.	noun
bokštas	Labai aukštas ir siauras pastatas.	tower	A very tall and narrow building.	Nuo bokšto matome miestą ir upę.	From the tower we see the city and the river.	noun
muziejus	Pastatas, kur matome senus ir gražius daiktus.	museum	A building where we see old and beautiful things.	Sekmadienį einame į muziejų.	On Sunday we go to the museum.	noun
paminklas	Skulptūra gatvėje ar aikštėje seniems laikams atsiminti.	monument	A sculpture in a street or a square to remember old times.	Prie paminklo yra daug gėlių.	By the monument there are many flowers.	noun
skulptūra	Žmogaus ar gyvūno forma iš akmens.	sculpture	The form of a person or an animal made of stone.	Parke matėme gražią skulptūrą.	In the park we saw a beautiful sculpture.	noun
piliakalnis	Aukšta sena kalva Lietuvoje, kur gyveno kareiviai.	castle hill	A high old hill in Lithuania where soldiers lived.	Vasarą lipome ant piliakalnio.	In summer we climbed onto the castle hill.	noun
užsienis	Kita šalis – ne Lietuva.	foreign country	Another country — not Lithuania.	Jis dažnai važiuoja į užsienį.	He often travels to a foreign country.	noun
viešbutis	Pastatas, kur turistai miega ir moka už kambarį.	hotel	A building where tourists sleep and pay for a room.	Vilniuje gyvenome naujame viešbutyje.	In Vilnius we lived in a new hotel.	noun
kempingas	Vieta gamtoje, kur turistai miega palapinėse.	campsite	A place in nature where tourists sleep in tents.	Vasarą miegojome kempinge prie ežero.	In summer we slept at a campsite by the lake.	noun
užsisakyti	Restorane pasakyti padavėjui, ko nori valgyti ir gerti.	to order	In a restaurant to tell the waiter what you want to eat and drink.	Restorane užsisakėme sriubos ir kavos.	In the restaurant we ordered soup and coffee.	verb
rezervuoti	Prieš kelionę ar spektaklį pasakyti, kad vieta bus tik tavo.	to reserve	Before a journey or a play to say that the seat will be only yours.	Rezervavome vietas lėktuve.	We reserved seats in the plane.	verb
sąskaita	Popierius, kuris rodo, kiek reikia mokėti.	bill	A paper that shows how much needs to be paid.	Restorane prašėme sąskaitos.	In the restaurant we asked for the bill.	noun
čekis	Mažas popierius iš parduotuvės; rodo, kiek mokėjome.	receipt	A small paper from the shop; it shows how much we paid.	Pardavėja davė čekį.	The saleswoman gave a receipt.	noun
stumti	Daryti, kad daiktas eitų nuo mūsų; ne traukti.	to push	To make a thing go away from us; not to pull.	Vaikai stumia duris.	The children push the door.	verb
traukti	Daryti, kad daiktas eitų prie mūsų; ne stumti.	to pull	To make a thing come toward us; not to push.	Vaikas traukia mamą už rankos.	The child pulls mom by the hand.	verb
nešti	Laikyti daiktą rankose ir eiti.	to carry	To hold a thing in the hands and walk.	Mama neša krepšį namo.	Mom carries the bag home.	verb
krepšys	Daiktas, kuriame nešame maistą iš parduotuvės.	bag	A thing in which we carry food from the shop.	Obuoliai yra krepšyje.	The apples are in the bag.	noun
lagaminas	Didelė dėžė drabužiams kelionėje.	suitcase	A big box for clothes on a journey.	Drabužius dedame į lagaminą.	We put the clothes into the suitcase.	noun
rankinė	Mažas moters krepšys pinigams ir telefonui.	handbag	A small woman's bag for money and a telephone.	Raktai yra rankinėje.	The keys are in the handbag.	noun
pasienis	Vieta, kur viena šalis yra prie kitos.	border area	A place where one country is next to another.	Pasienyje su Latvija stovi muitinė.	In the border area with Latvia stands the customs house.	noun
viza	Popierius ar ženklas pase kelionei į kitą šalį.	visa	A paper or a mark in the passport for a journey to another country.	Mums reikia vizos į Ameriką.	We need a visa to America.	noun
muitinė	Vieta prie kitos šalies, kur tikrina lagaminus.	customs	A place near another country where they check suitcases.	Muitinėje reikia rodyti dokumentus.	At the customs it is necessary to show documents.	noun
muitininkas	Žmogus, kuris tikrina keleivių lagaminus ir dokumentus.	customs officer	A person who checks the passengers' suitcases and documents.	Kalbėjome su muitininku.	We talked with a customs officer.	noun
deklaracija	Popierius muitinėje; ten rašome apie savo daiktus.	declaration	A paper at the customs; there we write about our things.	Deklaraciją rašome muitinėje.	The declaration we write at the customs.	noun
pildyti	Rašyti savo vardą į tuščias dokumento vietas.	to fill in (a form)	To write your name into the empty places of a document.	Studentai pildo prašymus.	The students fill in the applications.	verb
deklaruoti	Muitinėje sakyti, kiek turime pinigų ir daiktų.	to declare	At the customs to say how much money and things we have.	Jie deklaravo savo pinigus.	They declared their money.	verb
mokesčiai	Dalis algos, kurią žmonės duoda šaliai.	taxes	A part of the salary that people give to the country.	Nuo algos mokame mokesčius šaliai.	From the salary we pay taxes to the country.	noun
kortelė	Mažas plonas daiktas, kuriuo mokame parduotuvėje.	card	A small thin thing with which we pay in the shop.	Parduotuvėje mokėjau kortele.	In the shop I paid by card.	noun
draudimas	Kai dažnai mokame, o po nelaimės gauname pinigų.	insurance	When we pay often, and after an accident we get money.	Mašinai reikia draudimo.	The car needs insurance.	noun
draugas	Žmogus, su kuriuo gera būti ir kalbėti.	friend	A person with whom it is good to be and to talk.	Kalbu su draugu telefonu.	I talk with a friend by telephone.	noun
